customer_id,full_name,birth_date,gender,marital_status,occupation,education_level,income_range,religion,country,province,city,area_type,climate_zone,lifestyle_segment,interests,personal_values,brand_loyalty_score,purchase_frequency,last_purchase_date,avg_order_value,total_orders,preferred_channel,benefits_sought,feedback_score,age,generasi
CUST0019,I** R**** W******* M*****,2/16/1980,Female,Single,Database administrator,S1,>10M,Katolik,Indonesia,Maluku,Tebingtinggi,Suburban,Tropis,Eco-conscious,"['Finance', 'Tech']","['Sustainability', 'Community']",3,Non-user,2025-10-11,"2,235,051",5,App,"['Estetika', 'Fungsi']",4,45,Gen X
CUST0020,K** K***** W*****,5/14/1998,Male,Married,"Programmer, applications",SMA,>10M,Islam,Indonesia,Nusa Tenggara Barat,Malang,Suburban,Tropis,Minimalist,"['Interior', 'Eco Living']","['Family-first', 'Security']",9,Non-user,2026-01-14,"2,250,835",4,Social Media,['Ramah Lingkungan'],2,27,Millennial
CUST0021,d*** G*** Z*********,12/27/1990,Male,Single,Armed forces logistics/support/administrative officer,S2,5-10M,Katolik,Indonesia,Kalimantan Utara,Tanjungpinang,Rural,Tropis,Eco-conscious,"['Interior', 'Eco Living']","['Freedom', 'Minimalism']",10,Medium,2025-09-16,"644,864",20,Social Media,"['Estetika', 'Fungsi']",5,35,Millennial
CUST0022,S****** Y*******,5/18/2005,Female,Married,"Designer, blown glass/stained glass",SMA,<5M,Kristen,Indonesia,Papua Barat,Tarakan,Urban,Dingin,Minimalist,"['Finance', 'Tech']","['Sustainability', 'Community']",5,Non-user,2025-10-21,"779,923",24,Offline,['Ramah Lingkungan'],3,20,Gen Z
CUST0023,P*** Z**** F****** S***,4/20/1981,Male,Married,Secondary school teacher,D3,5-10M,Islam,Indonesia,Nusa Tenggara Barat,Pekalongan,Rural,Tropis,Family-oriented,"['Interior', 'Eco Living']","['Efficiency', 'Prestige']",7,Light,2026-01-09,"1,803,153",20,Offline,['Ramah Lingkungan'],5,44,Gen X
CUST0024,S***** M*********,8/3/1995,Male,Single,Cabin crew,S2,<5M,Kristen,Indonesia,Jawa Tengah,Tebingtinggi,Suburban,Dingin,Family-oriented,"['Parenting', 'Cooking']","['Efficiency', 'Prestige']",4,Heavy,2025-10-16,"1,432,390",16,Offline,['Hemat'],5,30,Millennial
CUST0025,B******* S******** M***,1/21/1989,Male,Single,Museum/gallery conservator,D3,<5M,Kristen,Indonesia,Riau,Solok,Suburban,Dingin,Eco-conscious,"['Finance', 'Tech']","['Family-first', 'Security']",2,Non-user,2025-09-16,"2,069,557",14,Website,"['Estetika', 'Fungsi']",4,37,Millennial
CUST0026,P*** G**** U*****,5/14/2001,Male,Married,Holiday representative,S1,>10M,Islam,Indonesia,Banten,Probolinggo,Suburban,Dingin,Eco-conscious,"['Finance', 'Tech']","['Sustainability', 'Community']",1,Non-user,2025-08-30,"1,025,190",2,App,['Hemat'],4,24,Gen Z
CUST0027,I** N***** J****** M***,6/13/2005,Male,Married,Dietitian,D3,5-10M,Kristen,Indonesia,Gorontalo,Palangkaraya,Rural,Dingin,Minimalist,"['Parenting', 'Cooking']","['Family-first', 'Security']",7,Non-user,2025-11-28,"430,562",21,Website,['Ramah Lingkungan'],1,20,Gen Z
CUST0028,D** E*** T***** S******,3/25/1990,Male,Married,Plant breeder/geneticist,D3,>10M,Kristen,Indonesia,Maluku Utara,Banjar,Urban,Tropis,Minimalist,"['Parenting', 'Cooking']","['Family-first', 'Security']",9,Non-user,2025-08-14,"2,102,561",7,Social Media,['Ramah Lingkungan'],2,35,Millennial
CUST0029,C***** H******,5/7/1988,Female,Single,Travel agency manager,SMA,<5M,Hindu,Indonesia,Kalimantan Barat,Salatiga,Rural,Tropis,Luxury seeker,"['Finance', 'Tech']","['Sustainability', 'Community']",2,Heavy,2026-01-02,"1,254,492",21,App,['Kualitas'],1,37,Millennial
CUST0030,J*** U******,1/21/1993,Female,Single,Forest/woodland manager,D3,5-10M,Islam,Indonesia,Jawa Tengah,Payakumbuh,Urban,Dingin,Luxury seeker,"['Interior', 'Eco Living']","['Freedom', 'Minimalism']",4,Light,2025-10-14,"2,221,581",21,Website,"['Estetika', 'Fungsi']",3,33,Millennial
CUST0031,K**** M********* S***,9/23/1988,Female,Single,Private music teacher,S2,<5M,Budha,Indonesia,Lampung,Pangkalpinang,Suburban,Tropis,Minimalist,"['Parenting', 'Cooking']","['Freedom', 'Minimalism']",7,Non-user,2025-09-22,"585,740",12,Website,"['Estetika', 'Fungsi']",2,37,Millennial
CUST0032,H****** H******* S***,1/13/2000,Male,Single,"Engineer, civil (contracting)",S2,5-10M,Islam,Indonesia,Sulawesi Selatan,Subulussalam,Rural,Dingin,Family-oriented,"['Finance', 'Tech']","['Family-first', 'Security']",4,Light,2025-09-29,"707,508",20,App,"['Estetika', 'Fungsi']",3,26,Gen Z
CUST0033,d** R**** S********,6/25/1996,Male,Single,Hotel manager,SMA,>10M,Katolik,Indonesia,Papua Barat,Kendari,Suburban,Tropis,Eco-conscious,"['Finance', 'Tech']","['Efficiency', 'Prestige']",8,Medium,2025-07-21,"2,206,316",10,Offline,['Hemat'],2,29,Millennial
CUST0034,H** V******* H**********,6/9/2002,Male,Single,Trading standards officer,S2,>10M,Kristen,Indonesia,Aceh,Kota Administrasi Jakarta Utara,Rural,Tropis,Family-oriented,"['Finance', 'Tech']","['Freedom', 'Minimalism']",5,Non-user,2025-12-08,"1,299,064",20,Offline,['Ramah Lingkungan'],3,23,Gen Z
CUST0035,M***** N*********,12/10/1996,Female,Married,Web designer,S2,>10M,Islam,Indonesia,Nusa Tenggara Timur,Kediri,Rural,Dingin,Minimalist,"['Finance', 'Tech']","['Freedom', 'Minimalism']",6,Non-user,2025-09-03,"352,860",7,Website,['Hemat'],3,29,Millennial
CUST0036,M****** G******* S***,2/6/2003,Female,Single,Prison officer,D3,5-10M,Katolik,Indonesia,Gorontalo,Sorong,Urban,Dingin,Luxury seeker,"['Parenting', 'Cooking']","['Freedom', 'Minimalism']",5,Non-user,2025-07-23,"2,424,644",20,Social Media,"['Estetika', 'Fungsi']",2,22,Gen Z
CUST0037,U*** S********,10/5/1999,Female,Single,"Journalist, newspaper",S2,<5M,Kristen,Indonesia,Jawa Barat,Tegal,Rural,Tropis,Eco-conscious,"['Travel', 'Fitness']","['Sustainability', 'Community']",1,Non-user,2025-12-09,"559,356",20,Website,['Hemat'],2,26,Gen Z
CUST0038,D** T***** U***** M****,3/6/1994,Male,Married,Retail banker,S1,<5M,Islam,Indonesia,Jawa Barat,Dumai,Rural,Dingin,Family-oriented,"['Travel', 'Fitness']","['Sustainability', 'Community']",9,Non-user,2026-01-10,"276,665",16,Offline,['Ramah Lingkungan'],1,31,Millennial
CUST0039,T* P******* S****** S***,4/24/1989,Female,Single,Psychotherapist,SMA,<5M,Budha,Indonesia,Sulawesi Utara,Kota Administrasi Jakarta Pusat,Urban,Tropis,Luxury seeker,"['Interior', 'Eco Living']","['Freedom', 'Minimalism']",5,Non-user,2025-07-31,"427,793",12,Social Media,['Kualitas'],2,36,Millennial
CUST0040,D*** K****** I********* S****,10/30/1984,Female,Single,"Administrator, education",SMA,>10M,Islam,Indonesia,Riau,Tangerang,Suburban,Dingin,Family-oriented,"['Parenting', 'Cooking']","['Sustainability', 'Community']",1,Medium,2025-09-06,"436,044",13,Offline,['Hemat'],5,41,Millennial
CUST0041,P******* W********* S***,4/19/1998,Male,Single,Television/film/video producer,S2,<5M,Katolik,Indonesia,Papua,Palu,Urban,Tropis,Minimalist,"['Travel', 'Fitness']","['Efficiency', 'Prestige']",6,Heavy,2025-09-28,"2,413,306",18,Website,"['Estetika', 'Fungsi']",1,27,Millennial
CUST0042,A***** S******,10/7/2001,Female,Single,"Surveyor, mining",S2,<5M,Budha,Indonesia,Kalimantan Timur,Bima,Suburban,Dingin,Luxury seeker,"['Travel', 'Fitness']","['Freedom', 'Minimalism']",1,Heavy,2025-09-18,"1,233,449",2,Offline,"['Estetika', 'Fungsi']",3,24,Gen Z
CUST0043,R***** H******* S***,10/18/2000,Male,Married,Osteopath,S2,>10M,Hindu,Indonesia,DI Yogyakarta,Sukabumi,Urban,Dingin,Family-oriented,"['Parenting', 'Cooking']","['Efficiency', 'Prestige']",10,Non-user,2025-08-08,"442,812",19,Offline,['Kualitas'],1,25,Gen Z
CUST0044,C****** K******,10/18/1984,Male,Single,Farm manager,S2,5-10M,Kristen,Indonesia,Maluku,Bandung,Rural,Dingin,Minimalist,"['Interior', 'Eco Living']","['Sustainability', 'Community']",2,Heavy,2026-01-05,"2,371,661",14,Offline,['Ramah Lingkungan'],1,41,Millennial
CUST0045,S******** N*****,5/1/1998,Male,Single,Personnel officer,S2,<5M,Hindu,Indonesia,Sulawesi Tenggara,Meulaboh,Rural,Dingin,Eco-conscious,"['Travel', 'Fitness']","['Sustainability', 'Community']",6,Heavy,2025-11-08,"1,593,080",25,Offline,"['Estetika', 'Fungsi']",1,27,Millennial
CUST0046,D** R**** W****** S***,4/18/2005,Female,Married,Amenity horticulturist,SMA,5-10M,Budha,Indonesia,Gorontalo,Padangpanjang,Urban,Tropis,Family-oriented,"['Finance', 'Tech']","['Efficiency', 'Prestige']",5,Light,2025-11-28,"853,915",4,App,['Kualitas'],4,20,Gen Z
CUST0047,S**** T********,8/24/1992,Female,Married,Child psychotherapist,S2,5-10M,Islam,Indonesia,Sulawesi Tengah,Palembang,Suburban,Dingin,Luxury seeker,"['Parenting', 'Cooking']","['Efficiency', 'Prestige']",8,Heavy,2025-11-27,"554,851",0,Social Media,['Ramah Lingkungan'],5,33,Millennial
CUST0048,F******* M********,7/16/1992,Female,Married,"Programme researcher, broadcasting/film/video",S1,5-10M,Hindu,Indonesia,Riau,Banjarmasin,Rural,Tropis,Minimalist,"['Interior', 'Eco Living']","['Efficiency', 'Prestige']",8,Light,2025-08-03,"649,684",12,Offline,['Ramah Lingkungan'],4,33,Millennial
CUST0049,P**** S******,8/4/2002,Male,Married,Financial planner,S1,5-10M,Hindu,Indonesia,Bali,Sukabumi,Suburban,Tropis,Luxury seeker,"['Finance', 'Tech']","['Sustainability', 'Community']",8,Medium,2025-08-10,"1,236,524",9,App,"['Estetika', 'Fungsi']",4,23,Gen Z
CUST0050,R*** Y**** P*******,4/2/1999,Male,Married,Land/geomatics surveyor,D3,>10M,Katolik,Indonesia,Kalimantan Tengah,Batam,Rural,Tropis,Family-oriented,"['Parenting', 'Cooking']","['Sustainability', 'Community']",8,Non-user,2025-12-14,"1,560,049",17,Social Media,['Hemat'],3,26,Gen Z
CUST0051,K**** R******,1/22/1985,Male,Single,Ecologist,S1,<5M,Kristen,Indonesia,Jawa Tengah,Kota Administrasi Jakarta Utara,Rural,Tropis,Family-oriented,"['Interior', 'Eco Living']","['Family-first', 'Security']",2,Heavy,2025-08-07,"471,865",7,Website,"['Estetika', 'Fungsi']",3,40,Millennial
CUST0052,W**** P******,7/14/2002,Female,Single,Theatre stage manager,S1,5-10M,Islam,Indonesia,Aceh,Blitar,Suburban,Tropis,Minimalist,"['Parenting', 'Cooking']","['Sustainability', 'Community']",2,Medium,2025-09-17,"1,033,739",10,Social Media,['Kualitas'],5,23,Gen Z
CUST0053,O**** A*******,7/30/1980,Female,Married,Secondary school teacher,SMA,5-10M,Hindu,Indonesia,Bengkulu,Kota Administrasi Jakarta Selatan,Rural,Dingin,Minimalist,"['Travel', 'Fitness']","['Freedom', 'Minimalism']",1,Heavy,2025-08-08,"300,817",10,App,['Kualitas'],2,45,Gen X
CUST0054,T*** K****** R****** S***,5/30/2005,Male,Single,Production engineer,S1,>10M,Budha,Indonesia,Sulawesi Tengah,Parepare,Suburban,Dingin,Luxury seeker,"['Parenting', 'Cooking']","['Efficiency', 'Prestige']",3,Non-user,2025-10-22,"1,140,060",23,Website,"['Estetika', 'Fungsi']",5,20,Gen Z
CUST0055,M******* Y*****,7/31/1987,Female,Single,Airline pilot,D3,5-10M,Kristen,Indonesia,Sumatera Utara,Tegal,Suburban,Tropis,Eco-conscious,"['Finance', 'Tech']","['Freedom', 'Minimalism']",6,Medium,2025-07-28,"1,279,488",8,Social Media,['Ramah Lingkungan'],5,38,Millennial
CUST0056,T**** H********,5/3/1996,Female,Married,"Buyer, retail",SMA,>10M,Katolik,Indonesia,Gorontalo,Pagaralam,Suburban,Dingin,Luxury seeker,"['Interior', 'Eco Living']","['Sustainability', 'Community']",3,Light,2026-01-07,"515,189",9,App,['Kualitas'],3,29,Millennial
CUST0057,B*** S********,10/16/1982,Male,Married,Textile designer,S2,>10M,Budha,Indonesia,Jawa Tengah,Sibolga,Urban,Dingin,Family-oriented,"['Finance', 'Tech']","['Family-first', 'Security']",9,Medium,2025-10-31,"1,498,553",15,Offline,['Kualitas'],2,43,Gen X
CUST0058,M**** M*******,4/9/2004,Female,Single,Trade union research officer,S1,5-10M,Islam,Indonesia,Sumatera Utara,Metro,Suburban,Tropis,Luxury seeker,"['Parenting', 'Cooking']","['Family-first', 'Security']",7,Non-user,2025-10-08,"1,185,168",14,Social Media,['Kualitas'],1,21,Gen Z
CUST0059,M*** P******,6/1/1983,Male,Married,Patent attorney,SMA,<5M,Katolik,Indonesia,Kalimantan Tengah,Sungai Penuh,Urban,Dingin,Luxury seeker,"['Parenting', 'Cooking']","['Family-first', 'Security']",9,Heavy,2025-09-20,"1,538,607",8,Offline,['Hemat'],4,42,Millennial
CUST0060,M**** S*******,6/21/1995,Male,Single,Freight forwarder,D3,5-10M,Katolik,Indonesia,Gorontalo,Padangpanjang,Urban,Dingin,Minimalist,"['Interior', 'Eco Living']","['Sustainability', 'Community']",8,Heavy,2025-09-27,"1,995,171",7,Website,['Ramah Lingkungan'],5,30,Millennial
CUST0061,P*** C******* A****** S***,3/26/1985,Female,Single,Microbiologist,D3,<5M,Kristen,Indonesia,DKI Jakarta,Batam,Urban,Dingin,Minimalist,"['Finance', 'Tech']","['Freedom', 'Minimalism']",5,Light,2025-12-21,"1,538,655",16,App,['Kualitas'],4,40,Millennial
CUST0062,B***** Z********** S******,6/20/1984,Male,Single,Pharmacologist,D3,5-10M,Kristen,Indonesia,Nusa Tenggara Barat,Semarang,Urban,Dingin,Luxury seeker,"['Parenting', 'Cooking']","['Family-first', 'Security']",3,Light,2026-01-01,"1,662,579",12,Social Media,['Hemat'],1,41,Millennial
CUST0063,C******** P******,7/29/2004,Female,Married,"Runner, broadcasting/film/video",S1,>10M,Hindu,Indonesia,Maluku,Kotamobagu,Suburban,Dingin,Eco-conscious,"['Travel', 'Fitness']","['Family-first', 'Security']",6,Heavy,2025-08-27,"2,040,275",12,Website,"['Estetika', 'Fungsi']",2,21,Gen Z
CUST0064,Z**** P******,4/21/1985,Female,Married,Mental health nurse,S1,5-10M,Katolik,Indonesia,Gorontalo,Jayapura,Rural,Tropis,Family-oriented,"['Interior', 'Eco Living']","['Sustainability', 'Community']",1,Heavy,2025-08-08,"1,658,904",14,App,['Hemat'],2,40,Millennial
CUST0065,d** S**** P******** M***,12/27/2005,Female,Single,Visual merchandiser,S2,5-10M,Kristen,Indonesia,Kalimantan Timur,Samarinda,Rural,Tropis,Minimalist,"['Finance', 'Tech']","['Freedom', 'Minimalism']",2,Light,2025-11-25,"813,376",11,Website,['Hemat'],4,20,Gen Z
CUST0066,C***** S******,11/28/2001,Female,Single,Insurance broker,S2,>10M,Islam,Indonesia,Kepulauan Riau,Sibolga,Rural,Tropis,Eco-conscious,"['Finance', 'Tech']","['Family-first', 'Security']",2,Medium,2026-01-11,"1,585,779",16,Social Media,['Hemat'],1,24,Gen Z
CUST0067,R* P**** W******* S****,8/9/1991,Female,Married,Building control surveyor,D3,<5M,Hindu,Indonesia,Kalimantan Barat,Ambon,Urban,Tropis,Family-oriented,"['Travel', 'Fitness']","['Sustainability', 'Community']",2,Light,2025-08-13,"1,077,014",9,Website,"['Estetika', 'Fungsi']",2,34,Millennial
CUST0068,H******** A*******,4/2/2005,Male,Single,Professor Emeritus,D3,<5M,Hindu,Indonesia,Sumatera Utara,Bekasi,Suburban,Tropis,Luxury seeker,"['Parenting', 'Cooking']","['Family-first', 'Security']",4,Heavy,2025-09-21,"2,267,334",4,App,"['Estetika', 'Fungsi']",3,20,Gen Z
CUST0069,D*** L***** H******** S***,5/25/1985,Female,Single,"Designer, furniture",D3,5-10M,Katolik,Indonesia,Maluku Utara,Lhokseumawe,Rural,Tropis,Luxury seeker,"['Interior', 'Eco Living']","['Sustainability', 'Community']",5,Medium,2025-08-16,"1,414,936",16,Website,"['Estetika', 'Fungsi']",3,40,Millennial
CUST0070,M******* W********,9/16/2005,Male,Married,Photographer,S2,<5M,Islam,Indonesia,DKI Jakarta,Tangerang,Urban,Dingin,Eco-conscious,"['Travel', 'Fitness']","['Freedom', 'Minimalism']",6,Medium,2025-10-19,"1,120,386",18,Social Media,['Ramah Lingkungan'],5,20,Gen Z
CUST0071,P****** M******,9/11/2000,Male,Single,Clothing/textile technologist,SMA,5-10M,Budha,Indonesia,Kepulauan Riau,Padangpanjang,Urban,Tropis,Minimalist,"['Finance', 'Tech']","['Sustainability', 'Community']",1,Non-user,2025-09-22,"1,389,874",20,Social Media,"['Estetika', 'Fungsi']",4,25,Gen Z
CUST0072,I** G***** G******,9/1/1994,Male,Single,English as a second language teacher,S1,>10M,Islam,Indonesia,Sumatera Barat,Kotamobagu,Suburban,Tropis,Luxury seeker,"['Finance', 'Tech']","['Freedom', 'Minimalism']",7,Heavy,2025-10-01,"947,881",13,Website,['Hemat'],2,31,Millennial
CUST0073,G******** M******,6/7/2000,Male,Single,Freight forwarder,S2,5-10M,Budha,Indonesia,Kalimantan Tengah,Ambon,Rural,Tropis,Minimalist,"['Finance', 'Tech']","['Sustainability', 'Community']",1,Medium,2025-09-11,"1,828,374",5,Social Media,['Ramah Lingkungan'],5,25,Gen Z
CUST0074,M*** N****** S****,3/16/1991,Female,Married,Museum/gallery conservator,D3,<5M,Katolik,Indonesia,Sumatera Barat,Ambon,Rural,Tropis,Eco-conscious,"['Interior', 'Eco Living']","['Family-first', 'Security']",5,Heavy,2025-10-28,"841,637",18,App,"['Estetika', 'Fungsi']",4,34,Millennial
CUST0075,H**** G******,12/25/2003,Female,Married,Press photographer,D3,<5M,Katolik,Indonesia,Nusa Tenggara Timur,Pekalongan,Urban,Dingin,Eco-conscious,"['Travel', 'Fitness']","['Efficiency', 'Prestige']",9,Heavy,2025-07-20,"349,085",0,Website,['Hemat'],4,22,Gen Z
CUST0076,d*** T**** U******,9/7/1995,Female,Single,Pensions consultant,D3,5-10M,Islam,Indonesia,Sulawesi Selatan,Lubuklinggau,Rural,Dingin,Luxury seeker,"['Interior', 'Eco Living']","['Efficiency', 'Prestige']",7,Light,2025-09-11,"860,330",2,Offline,['Hemat'],5,30,Millennial
CUST0077,R*** S******,12/17/1983,Male,Single,Psychiatrist,SMA,<5M,Hindu,Indonesia,Maluku Utara,Banda Aceh,Urban,Dingin,Minimalist,"['Interior', 'Eco Living']","['Freedom', 'Minimalism']",2,Non-user,2025-12-25,"267,931",6,Offline,['Ramah Lingkungan'],5,42,Millennial
CUST0078,P*** H**** F******* M*****,7/4/2003,Male,Married,Oncologist,S2,5-10M,Kristen,Indonesia,Sulawesi Selatan,Bekasi,Rural,Tropis,Luxury seeker,"['Travel', 'Fitness']","['Family-first', 'Security']",1,Medium,2025-10-26,"1,468,477",20,App,['Ramah Lingkungan'],1,22,Gen Z
CUST0079,G**** N******,9/19/1982,Female,Married,Camera operator,SMA,>10M,Kristen,Indonesia,Nusa Tenggara Barat,Lhokseumawe,Rural,Tropis,Family-oriented,"['Parenting', 'Cooking']","['Sustainability', 'Community']",3,Light,2025-10-24,"459,310",7,Social Media,['Ramah Lingkungan'],4,43,Gen X
CUST0080,U**** T*********,8/2/2001,Male,Single,Make,D3,>10M,Hindu,Indonesia,Sumatera Selatan,Pontianak,Urban,Tropis,Family-oriented,"['Finance', 'Tech']","['Efficiency', 'Prestige']",5,Light,2025-12-05,"2,164,556",25,Social Media,['Ramah Lingkungan'],3,24,Gen Z
CUST0081,E** N*********,1/1/2002,Female,Single,Early years teacher,SMA,5-10M,Kristen,Indonesia,Gorontalo,Kendari,Urban,Tropis,Luxury seeker,"['Travel', 'Fitness']","['Efficiency', 'Prestige']",8,Non-user,2025-11-10,"956,575",3,Offline,['Kualitas'],4,24,Gen Z
CUST0082,U*** P******,3/29/1985,Female,Married,TEFL teacher,SMA,5-10M,Islam,Indonesia,Sumatera Barat,Cirebon,Urban,Dingin,Eco-conscious,"['Finance', 'Tech']","['Freedom', 'Minimalism']",3,Heavy,2025-10-12,"1,850,104",11,Social Media,['Hemat'],3,40,Millennial
CUST0083,I****** H******,3/20/2003,Female,Single,"Psychotherapist, child",S2,<5M,Hindu,Indonesia,Maluku Utara,Sorong,Rural,Tropis,Eco-conscious,"['Parenting', 'Cooking']","['Sustainability', 'Community']",3,Heavy,2025-10-10,"276,903",24,Website,['Kualitas'],2,22,Gen Z
CUST0084,O****** H********,7/10/2001,Female,Single,Insurance claims handler,S1,5-10M,Islam,Indonesia,Bengkulu,Kota Administrasi Jakarta Utara,Urban,Tropis,Luxury seeker,"['Parenting', 'Cooking']","['Efficiency', 'Prestige']",2,Light,2025-10-14,"525,687",14,App,['Kualitas'],5,24,Gen Z
CUST0085,T*** C**** Y******** S***,6/2/1995,Female,Married,Volunteer coordinator,S2,>10M,Islam,Indonesia,Papua,Banjarmasin,Suburban,Dingin,Luxury seeker,"['Interior', 'Eco Living']","['Efficiency', 'Prestige']",3,Light,2025-11-09,"879,673",4,App,['Kualitas'],3,30,Millennial
